n_components,n_estimators,max_depth,learning_rate,scale_pos_weight,avg_F1,std_F1,avg_AUROC,std_AUROC
5,50,2,0.01,1.0,0.5482,0.0937,0.7568,0.1262
5,50,2,0.01,1.33,0.4495,0.1796,0.8068,0.1011
5,50,2,0.01,2.0,0.3968,0.1402,0.8193,0.1195
5,50,2,0.1,1.0,0.7042,0.2121,0.817,0.1419
5,50,2,0.1,1.33,0.6981,0.1562,0.7982,0.1685
5,50,2,0.1,2.0,0.6981,0.1562,0.7688,0.1514
5,50,2,0.3,1.0,0.6761,0.1926,0.808,0.138
5,50,2,0.3,1.33,0.6836,0.1821,0.7783,0.1475
5,50,2,0.3,2.0,0.6332,0.165,0.8051,0.1619
5,50,3,0.01,1.0,0.5702,0.19,0.7902,0.1006
5,50,3,0.01,1.33,0.4884,0.1437,0.8027,0.1207
5,50,3,0.01,2.0,0.3968,0.1402,0.8027,0.1207
5,50,3,0.1,1.0,0.6725,0.1889,0.8101,0.1631
5,50,3,0.1,1.33,0.6614,0.1452,0.819,0.1664
5,50,3,0.1,2.0,0.6539,0.157,0.8101,0.1631
5,50,3,0.3,1.0,0.6761,0.1926,0.7777,0.1511
5,50,3,0.3,1.33,0.6554,0.2014,0.7688,0.1514
5,50,3,0.3,2.0,0.6311,0.1266,0.7574,0.1664
5,50,4,0.01,1.0,0.6028,0.1525,0.8027,0.1207
5,50,4,0.01,1.33,0.4884,0.1437,0.8027,0.1207
5,50,4,0.01,2.0,0.3968,0.1402,0.8027,0.1207
5,50,4,0.1,1.0,0.6948,0.2175,0.8101,0.1631
5,50,4,0.1,1.33,0.6453,0.1712,0.8274,0.1932
5,50,4,0.1,2.0,0.6311,0.1266,0.7976,0.1833
5,50,4,0.3,1.0,0.6539,0.157,0.7777,0.1511
5,50,4,0.3,1.33,0.6554,0.2014,0.7958,0.1445
5,50,4,0.3,2.0,0.6225,0.1424,0.772,0.1542
5,100,2,0.01,1.0,0.6952,0.1531,0.7506,0.133
5,100,2,0.01,1.33,0.572,0.0671,0.7542,0.1516
5,100,2,0.01,2.0,0.5411,0.0915,0.7542,0.1516
5,100,2,0.1,1.0,0.6761,0.1926,0.817,0.1419
5,100,2,0.1,1.33,0.6949,0.1921,0.7991,0.1356
5,100,2,0.1,2.0,0.6554,0.2014,0.8229,0.1455
5,100,2,0.3,1.0,0.6554,0.2014,0.8259,0.1475
5,100,2,0.3,1.33,0.6761,0.1926,0.8051,0.1619
5,100,2,0.3,2.0,0.6104,0.1328,0.8051,0.1619
5,100,3,0.01,1.0,0.6811,0.1749,0.7527,0.1516
5,100,3,0.01,1.33,0.6245,0.1118,0.7438,0.1504
5,100,3,0.01,2.0,0.5411,0.0915,0.7562,0.1681
5,100,3,0.1,1.0,0.6761,0.1926,0.7955,0.1552
5,100,3,0.1,1.33,0.6539,0.157,0.8012,0.1613
